component 0,component 1,component 2,请选择使用模式,flag,username,timestamp
你好,/home/liushu/program/ChatDoc/vector_store/test,/home/liushu/program/ChatDoc/flagged/component 2/tmp2v3co2ai.json,知识库问答,,d38427d77ec64fd7b5fb059edd2f6501,2023-05-25 19:55:34.804524
你好,/home/liushu/program/ChatDoc/vector_store/test,/home/liushu/program/ChatDoc/flagged/component 2/tmpz4q9gfkz.json,知识库问答,,f4234978213f494faf1b24c542e2e3f1,2023-05-25 19:58:46.212872
